City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
10,Touros,BR,79.48,light rain,-5.1989,-35.4608,INN NEW HORIZON
18,San Carlos Del Zulia,VE,78.3,few clouds,9.0,-71.9135,Hotel El Manantial
23,Mahebourg,MU,78.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
38,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
41,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
43,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Muzaffarnagar,IN,78.8,clear sky,29.4667,77.6833,Hotel Green Apple
56,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
60,Miranpur,IN,79.02,clear sky,29.3,77.9333,Bhartiya Hotel
61,Banikoara,BJ,81.81,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
65,Sanghar,PK,85.35,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
66,Antalaha,MG,75.36,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
72,Sambava,MG,76.91,overcast clouds,-14.2667,50.1667,Melrose
74,Murliganj,IN,85.98,clear sky,25.9,86.9833,Hotel Vijay palace
79,Sabya,SA,80.22,clear sky,17.1495,42.6254,Aseel Hotel Apartment
86,Porto Novo,BJ,80.73,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
89,Camocim,BR,76.15,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
96,Kavaratti,IN,81.73,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
97,Arlit,NE,75.85,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
98,Sokoni,TZ,82.47,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
104,Lambarene,GA,76.06,overcast clouds,-0.7001,10.2406,Le Refuge
