City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khorramshahr,IR,30.4397,48.1664,51.75,27,0,7.63,clear sky
1,Ushuaia,AR,-54.8,-68.3,53.26,66,75,10.36,broken clouds
2,Cayenne,GF,4.9333,-52.3333,80.1,1,75,10.36,broken clouds
3,Garmsar,IR,35.2182,52.3409,48.83,33,0,15.7,clear sky
4,Kuybysheve,UA,47.358,36.6491,34.27,61,0,6.29,clear sky
5,Melbu,NO,68.5044,14.8297,30.02,69,40,18.41,light snow
6,Bredasdorp,ZA,-34.5322,20.0403,60.64,86,40,8.41,light rain
7,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,28,6.33,scattered clouds
8,Demerval Lobao,BR,-5.3583,-42.6764,74.61,95,98,2.59,overcast clouds
9,Cape Town,ZA,-33.9258,18.4232,61.27,70,92,8.28,overcast clouds
10,Touros,BR,-5.1989,-35.4608,79.48,84,100,11.41,light rain
11,Ust-Kulom,RU,61.6864,53.6902,19.69,83,96,9.48,overcast clouds
12,Nuuk,GL,64.1835,-51.7216,18.21,79,98,2.3,overcast clouds
13,Henties Bay,NA,-22.116,14.2845,61.9,91,2,8.59,clear sky
14,Torbay,CA,47.6666,-52.7314,29.57,88,100,1.99,overcast clouds
15,Gao,ML,16.6362,1.637,81.79,13,92,10.47,overcast clouds
16,Temirtau,KZ,50.0544,72.9483,21.43,97,100,4.79,overcast clouds
17,Varhaug,NO,58.6147,5.6457,40.55,84,100,21.61,overcast clouds
18,San Carlos Del Zulia,VE,9.0,-71.9135,78.3,81,12,5.97,few clouds
19,Gorodishche,RU,48.8045,44.4744,29.28,86,0,2.24,clear sky
20,Busselton,AU,-33.65,115.3333,70.14,78,98,15.1,light rain
21,Hermanus,ZA,-34.4187,19.2345,60.8,83,56,13.65,broken clouds
22,Bandarbeyla,SO,9.4942,50.8122,74.26,74,23,4.56,few clouds
23,Mahebourg,MU,-20.4081,57.7,78.26,80,10,7.76,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,21.36,94,100,5.77,light snow
25,Quatre Cocos,MU,-20.2078,57.7625,78.1,81,17,7.56,few clouds
26,Barkly West,ZA,-28.5354,24.5215,52.88,46,38,4.76,scattered clouds
27,Alma,CA,48.5501,-71.6491,31.21,98,99,2.98,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,63.14,84,17,5.08,light rain
29,Mar Del Plata,AR,-38.0023,-57.5575,65.08,91,100,23.0,overcast clouds
30,San Cristobal,VE,7.7669,-72.225,69.51,79,73,2.93,broken clouds
31,Cidreira,BR,-30.1811,-50.2056,64.17,79,16,9.44,few clouds
32,Punta Arenas,CL,-53.15,-70.9167,55.51,58,75,14.97,broken clouds
33,Qaanaaq,GL,77.484,-69.3632,3.94,74,100,5.97,overcast clouds
34,Gospic,HR,44.5461,15.3747,29.89,66,42,5.1,scattered clouds
35,Balkhash,KZ,46.844,74.9804,32.61,74,0,13.42,clear sky
36,Kargasok,RU,59.0556,80.8572,14.27,86,100,19.77,overcast clouds
37,Dikson,RU,73.5069,80.5464,9.63,90,100,6.64,overcast clouds
38,Vila Velha,BR,-20.3297,-40.2925,78.75,88,20,6.91,few clouds
39,Hofn,IS,64.2539,-15.2082,38.46,85,100,8.34,overcast clouds
40,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,4.61,light snow
