City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ambositra,MG,2022-03-24 12:51:56,-20.5167,47.25,73.02,79,26,1.48
1,Cap Malheureux,MU,2022-03-24 12:51:56,-19.9842,57.6142,84.47,73,47,8.01
2,Ponta Do Sol,PT,2022-03-24 12:40:30,32.6667,-17.1,66.0,67,40,8.84
3,Husavik,IS,2022-03-24 12:43:41,66.0449,-17.3389,39.07,96,100,7.99
4,Ushuaia,AR,2022-03-24 12:42:05,-54.8,-68.3,46.02,76,75,13.8
5,Bredasdorp,ZA,2022-03-24 12:42:28,-34.5322,20.0403,77.61,42,2,16.35
6,Vestmanna,FO,2022-03-24 12:47:30,62.1564,-7.1664,45.52,100,100,10.36
7,Punta Arenas,CL,2022-03-24 12:39:41,-53.15,-70.9167,46.51,76,20,17.27
8,Sinnamary,GF,2022-03-24 12:44:59,5.3833,-52.95,79.59,88,91,12.88
9,Azangaro,PE,2022-03-24 12:51:57,-14.9167,-70.2167,48.65,75,27,3.83
10,Lagoa,PT,2022-03-24 12:46:18,39.05,-27.9833,58.53,80,100,22.75
11,Cape Town,ZA,2022-03-24 12:40:30,-33.9258,18.4232,79.12,41,20,12.66
12,Filadelfia,US,2022-03-24 12:43:54,39.9523,-75.1638,48.06,96,100,11.5
13,Saint George,US,2022-03-24 12:43:48,37.1041,-113.5841,46.99,23,0,9.22
14,Marawi,PH,2022-03-24 12:51:58,7.9986,124.2928,69.62,95,100,1.41
15,Lokosovo,RU,2022-03-24 12:51:58,61.1333,74.8167,16.95,92,10,7.4
16,Jamestown,US,2022-03-24 12:40:39,42.097,-79.2353,49.01,68,75,11.01
17,Arraial Do Cabo,BR,2022-03-24 12:42:27,-22.9661,-42.0278,82.26,61,0,17.27
18,Biskamzha,RU,2022-03-24 12:51:59,53.4497,89.5272,20.61,93,100,9.31
19,Barreiros,BR,2022-03-24 12:51:59,-8.8183,-35.1864,83.93,64,79,9.48
20,Mar Del Plata,AR,2022-03-24 12:40:43,-38.0023,-57.5575,70.09,100,100,30.0
21,Sigmaringen,DE,2022-03-24 12:52:00,48.0833,9.2167,66.33,26,2,5.79
22,Longyearbyen,SJ,2022-03-24 12:43:38,78.2186,15.6401,3.04,55,40,3.44
23,Necochea,AR,2022-03-24 12:42:05,-38.5473,-58.7368,67.24,93,100,23.55
24,Maraba,BR,2022-03-24 12:52:00,-5.3686,-49.1178,80.78,94,75,3.44
25,Hanumangarh,IN,2022-03-24 12:52:00,29.5833,74.3167,88.36,11,1,3.0
26,Port Alfred,ZA,2022-03-24 12:39:11,-33.5906,26.891,75.49,65,39,18.61
27,Tiznit,MA,2022-03-24 12:52:01,29.5833,-9.5,56.77,60,63,17.09
28,Nanortalik,GL,2022-03-24 12:43:42,60.1432,-45.2371,27.68,65,91,3.62
29,Busselton,AU,2022-03-24 12:42:23,-33.65,115.3333,68.72,43,0,11.72
30,Saint Anthony,US,2022-03-24 12:45:38,45.0205,-93.218,34.93,84,100,12.66
31,Kralendijk,BQ,2022-03-24 12:52:01,12.15,-68.2667,80.58,69,20,20.71
32,Banamba,ML,2022-03-24 12:52:02,13.55,-7.45,101.08,8,51,8.9
33,Muravlenko,RU,2022-03-24 12:52:02,63.7898,74.523,11.64,91,38,8.95
34,Joshimath,IN,2022-03-24 12:47:39,30.5667,79.5667,57.0,56,79,1.83
35,East London,ZA,2022-03-24 12:42:26,-33.0153,27.9116,70.74,94,20,11.5
36,Ambilobe,MG,2022-03-24 12:44:53,-13.2,49.05,83.52,80,100,4.74
37,Prieska,ZA,2022-03-24 12:52:03,-29.6641,22.7474,79.74,34,2,9.78
38,Grand Gaube,MU,2022-03-24 12:47:28,-20.0064,57.6608,85.37,72,59,8.99
39,Bubaque,GW,2022-03-24 12:48:42,11.2833,-15.8333,76.35,57,6,6.22
40,Gat,IL,2022-03-24 12:52:03,31.61,34.7642,52.81,100,40,19.95
41,Cockburn Town,TC,2022-03-24 12:47:19,21.4612,-71.1419,76.96,73,40,13.8
42,Kathu,TH,2022-03-24 12:45:02,7.9178,98.3332,88.7,79,100,9.04
43,Qaanaaq,GL,2022-03-24 12:43:38,77.484,-69.3632,-14.84,66,23,7.81
44,Hamilton,US,2022-03-24 12:47:17,39.1834,-84.5333,47.88,73,100,12.66
45,Chuy,UY,2022-03-24 12:42:26,-33.6971,-53.4616,71.35,85,100,8.59
46,Vettavalam,IN,2022-03-24 12:53:05,12.1,79.25,85.01,61,11,14.05
47,Georgetown,MY,2022-03-24 12:53:05,5.4112,100.3354,84.15,81,20,3.44
48,Hithadhoo,MV,2022-03-24 12:43:40,-0.6,73.0833,84.07,70,0,18.66
49,Pangnirtung,CA,2022-03-24 12:50:09,66.1451,-65.7125,15.8,86,100,3.44
50,Marovoay,MG,2022-03-24 12:53:06,-16.1,46.6333,87.87,68,99,2.48
51,Sao Joao Da Barra,BR,2022-03-24 12:53:06,-21.6403,-41.0511,80.69,69,2,7.87
52,Belyy Yar,RU,2022-03-24 12:48:50,53.6039,91.3903,30.85,48,0,13.42
53,Mecca,SA,2022-03-24 12:48:06,21.4267,39.8261,82.62,22,1,18.77
54,Clyde River,CA,2022-03-24 12:41:28,70.4692,-68.5914,-3.77,77,100,14.97
55,San Cristobal,VE,2022-03-24 12:53:07,7.7669,-72.225,68.18,48,97,6.58
56,Kidal,ML,2022-03-24 12:49:03,18.4411,1.4078,95.61,6,15,14.43
57,Saint-Philippe,RE,2022-03-24 12:43:39,-21.3585,55.7679,81.99,84,55,10.25
58,Mahebourg,MU,2022-03-24 12:47:29,-20.4081,57.7,85.24,70,40,9.22
59,Krasnoye,UA,2022-03-24 12:53:07,49.9145,24.6134,50.25,38,4,14.72
60,Namibe,AO,2022-03-24 12:53:08,-15.1961,12.1522,81.23,65,40,12.66
61,Zemio,CF,2022-03-24 12:53:08,5.0314,25.1361,96.78,23,99,6.24
62,Narsaq,GL,2022-03-24 12:43:40,60.9167,-46.05,19.62,59,13,5.41
63,Nalut,LY,2022-03-24 12:53:08,30.3333,10.85,68.09,19,0,16.64
64,Altamira,BR,2022-03-24 12:53:09,-3.2033,-52.2064,80.69,89,75,5.75
65,La Paz,BO,2022-03-24 12:51:19,-16.5,-68.15,46.38,93,75,5.75
66,Baherden,TM,2022-03-24 12:53:09,38.4362,57.4316,58.28,45,77,20.96
67,Dakar,SN,2022-03-24 12:50:14,14.6937,-17.4441,77.88,68,0,13.8
68,Sur,OM,2022-03-24 12:47:40,22.5667,59.5289,86.52,35,5,4.32
69,Port Elizabeth,ZA,2022-03-24 12:47:23,-33.918,25.5701,76.1,74,0,25.32
70,Touros,BR,2022-03-24 12:47:32,-5.1989,-35.4608,85.1,66,76,8.77
71,Salalah,OM,2022-03-24 12:53:10,17.0151,54.0924,80.2,60,9,7.99
72,Kavaratti,IN,2022-03-24 12:53:10,10.5669,72.642,83.98,63,10,4.38
73,Sao Gabriel Da Cachoeira,BR,2022-03-24 12:53:10,-0.1303,-67.0892,75.0,96,100,1.25
74,Carnarvon,AU,2022-03-24 12:43:40,-24.8667,113.6333,82.47,74,40,5.75
75,Podgorica,ME,2022-03-24 12:50:31,42.4411,19.2636,69.58,13,0,8.05
76,Coihaique,CL,2022-03-24 12:47:40,-45.5752,-72.0662,48.81,76,100,6.91
77,Hermanus,ZA,2022-03-24 12:43:46,-34.4187,19.2345,72.81,69,4,11.86
78,Puerto Del Rosario,ES,2022-03-24 12:53:11,28.5004,-13.8627,69.55,43,20,18.41
79,Jijiga,ET,2022-03-24 12:53:11,9.35,42.8,84.52,24,49,10.58
80,Talara,PE,2022-03-24 12:53:12,-4.5772,-81.2719,73.74,71,100,14.27
81,Tonekabon,IR,2022-03-24 12:53:12,36.8163,50.8738,48.15,82,73,3.85
